2017-02-07 14:35:08 [main] WARN  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static java.lang.String com.foreveross.springboot.dubbo.autoconfigure.JsonDateSerializer.DATE_DEFAULT_PATTERN
2017-02-07 14:35:08 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
2017-02-07 14:35:08 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Bean with name 'druidDataSource' has been autodetected for JMX exposure
2017-02-07 14:35:08 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Located MBean 'druidDataSource': registering with JMX server as MBean [com.alibaba.druid.pool:name=druidDataSource,type=DruidDataSource]
2017-02-07 14:35:09 [main] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat started on port(s): 8383 (http)
2017-02-07 14:35:09 [main] INFO  hss.Application - Started Application in 35.512 seconds (JVM running for 36.482)
2017-02-07 14:36:46 [http-nio-8383-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
2017-02-07 14:36:46 [http-nio-8383-exec-1] INFO  o.s.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization started
2017-02-07 14:36:46 [http-nio-8383-exec-1] INFO  o.s.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization completed in 20 ms
2017-02-07 14:39:41 [main] INFO  hss.Application - Starting Application on Foreveross-PC with PID 13128 (C:\Users\Foreveross\IdeaProjects\sihouzi\target\classes started by Foreveross in C:\Users\Foreveross\IdeaProjects\sihouzi)
2017-02-07 14:39:41 [main] INFO  hss.Application - The following profiles are active: prod
2017-02-07 14:39:42 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [C:\Users\Foreveross\IdeaProjects\sihouzi\target\classes\spring\services.xml]
2017-02-07 14:39:42 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@4e91d63f: startup date [Tue Feb 07 14:39:42 CST 2017]; root of context hierarchy
